,trans_date,data
ef1bcca724f3,7/9/2016,324396.4702
ef1bcca724f3,7/10/2016,285120.6462
ef1bcca724f3,7/11/2016,158173.0362
ef1bcca724f3,7/12/2016,169717.1557
ef1bcca724f3,7/13/2016,206664.3618
ef1bcca724f3,7/14/2016,195964.5842
ef1bcca724f3,7/15/2016,265947.1301
ef1bcca724f3,7/16/2016,326354.0609
ef1bcca724f3,7/17/2016,292522.8033
ef1bcca724f3,7/18/2016,166291.5167
ef1bcca724f3,7/19/2016,170302.3278
ef1bcca724f3,7/20/2016,177420.5834
ef1bcca724f3,7/21/2016,210899.0712
ef1bcca724f3,7/22/2016,276449.0262
ef1bcca724f3,7/23/2016,330174.8238
ef1bcca724f3,7/24/2016,267897.8516
ef1bcca724f3,7/25/2016,164944.3326
ef1bcca724f3,7/26/2016,188572.1082
ef1bcca724f3,7/27/2016,171580.3975
ef1bcca724f3,7/28/2016,223476.4555
ef1bcca724f3,7/29/2016,268929.1668
ef1bcca724f3,7/30/2016,327548.8975
ef1bcca724f3,7/31/2016,269466.4754
ef1bcca724f3,8/1/2016,177661.792
ef1bcca724f3,8/2/2016,172692.2791
ef1bcca724f3,8/3/2016,195188.0707
ef1bcca724f3,8/4/2016,196114.3071
ef1bcca724f3,8/5/2016,282377.9637
ef1bcca724f3,8/6/2016,340855.5092
ef1bcca724f3,8/7/2016,274550.9754
ef1bcca724f3,8/8/2016,164568.8318
ef1bcca724f3,8/9/2016,174691.6676
ef1bcca724f3,8/10/2016,214940.6004
ef1bcca724f3,8/11/2016,232167.7953
ef1bcca724f3,8/12/2016,280117.8466
ef1bcca724f3,8/13/2016,94332.90604
ef1bcca724f3,8/14/2016,293192.1084
ef1bcca724f3,8/15/2016,190562.5797
ef1bcca724f3,8/16/2016,185005.7378
ef1bcca724f3,8/17/2016,208740.8018
ef1bcca724f3,8/18/2016,212073.1694
ef1bcca724f3,8/19/2016,282826.9762
ef1bcca724f3,8/20/2016,333014.0183
ef1bcca724f3,8/21/2016,267768.677
ef1bcca724f3,8/22/2016,144615.0505
ef1bcca724f3,8/23/2016,165567.1986
ef1bcca724f3,8/24/2016,175290.5847
ef1bcca724f3,8/25/2016,198103.5705
ef1bcca724f3,8/26/2016,269714.3788
ef1bcca724f3,8/27/2016,327427.8501
ef1bcca724f3,8/28/2016,289842.9933
ef1bcca724f3,8/29/2016,151989.8343
ef1bcca724f3,8/30/2016,162965.916
ef1bcca724f3,8/31/2016,160824.1077
ef1bcca724f3,9/1/2016,194984.3845
ef1bcca724f3,9/2/2016,263931.2863
ef1bcca724f3,9/3/2016,308267.7672
ef1bcca724f3,9/4/2016,301906.6398
ef1bcca724f3,9/5/2016,216202.12
ef1bcca724f3,9/6/2016,139311.9131
ef1bcca724f3,9/7/2016,138681.8199
ef1bcca724f3,9/8/2016,173549.5022
ef1bcca724f3,9/9/2016,259471.4104
ef1bcca724f3,9/10/2016,320418.7872
ef1bcca724f3,9/11/2016,258249.3896
ef1bcca724f3,9/12/2016,141425.2418
ef1bcca724f3,9/13/2016,150365.9254
ef1bcca724f3,9/14/2016,178474.8356
ef1bcca724f3,9/15/2016,210301.1078
ef1bcca724f3,9/16/2016,246466.9761
ef1bcca724f3,9/17/2016,315981.7987
ef1bcca724f3,9/18/2016,265959.8094
ef1bcca724f3,9/19/2016,137903.1331
ef1bcca724f3,9/20/2016,142982.8762
ef1bcca724f3,9/21/2016,161141.87
ef1bcca724f3,9/22/2016,186247.5756
ef1bcca724f3,9/23/2016,287044.1668
ef1bcca724f3,9/24/2016,327149.1739
ef1bcca724f3,9/25/2016,244952.5915
ef1bcca724f3,9/26/2016,129128.7435
ef1bcca724f3,9/27/2016,164568.9072
ef1bcca724f3,9/28/2016,161496.827
ef1bcca724f3,9/29/2016,202723.9013
ef1bcca724f3,9/30/2016,266328.5497
ef1bcca724f3,10/1/2016,322020.2991
ef1bcca724f3,10/2/2016,257511.4022
ef1bcca724f3,10/3/2016,131586.7168
ef1bcca724f3,10/4/2016,154167.3001
ef1bcca724f3,10/5/2016,160253.8224
ef1bcca724f3,10/6/2016,169885.7759
ef1bcca724f3,10/7/2016,248822.6756
ef1bcca724f3,10/8/2016,306630.4122
ef1bcca724f3,10/9/2016,252453.5981
ef1bcca724f3,10/10/2016,148325.8368
ef1bcca724f3,10/11/2016,159587.0274
ef1bcca724f3,10/12/2016,181144.293
ef1bcca724f3,10/13/2016,168383.1786
ef1bcca724f3,10/14/2016,258678.6379
ef1bcca724f3,10/15/2016,316413.0849
ef1bcca724f3,10/16/2016,229439.1501
ef1bcca724f3,10/17/2016,146205.8299
ef1bcca724f3,10/18/2016,146822.65
ef1bcca724f3,10/19/2016,172102.6167
ef1bcca724f3,10/20/2016,184064.1049
ef1bcca724f3,10/21/2016,288913.5509
ef1bcca724f3,10/22/2016,323565.6608
ef1bcca724f3,10/23/2016,279919.0919
ef1bcca724f3,10/24/2016,134592.6423
ef1bcca724f3,10/25/2016,173986.6639
ef1bcca724f3,10/26/2016,159554.142
ef1bcca724f3,10/27/2016,197107.9892
ef1bcca724f3,10/28/2016,266216.9004
ef1bcca724f3,10/29/2016,310107.1109
ef1bcca724f3,10/30/2016,261811.8885
ef1bcca724f3,10/31/2016,114910.4122
ef1bcca724f3,11/1/2016,153789.6628
ef1bcca724f3,11/2/2016,146333.9107
ef1bcca724f3,11/3/2016,177731.395
ef1bcca724f3,11/4/2016,270554.8428
ef1bcca724f3,11/5/2016,330184.8502
ef1bcca724f3,11/6/2016,256429.3517
ef1bcca724f3,11/7/2016,135002.7908
ef1bcca724f3,11/8/2016,121659.6015
ef1bcca724f3,11/9/2016,159808.7302
ef1bcca724f3,11/10/2016,195467.7968
ef1bcca724f3,11/11/2016,345224.3327
ef1bcca724f3,11/12/2016,340661.8323
ef1bcca724f3,11/13/2016,248494.8028
ef1bcca724f3,11/14/2016,135037.7269
ef1bcca724f3,11/15/2016,158703.2599
ef1bcca724f3,11/16/2016,175935.7573
ef1bcca724f3,11/17/2016,174672.7511
ef1bcca724f3,11/18/2016,295202.4433
ef1bcca724f3,11/19/2016,319026.5821
ef1bcca724f3,11/20/2016,267756.684
ef1bcca724f3,11/21/2016,174963.416
ef1bcca724f3,11/22/2016,176304.7176
ef1bcca724f3,11/23/2016,208350.1199
ef1bcca724f3,11/24/2016,62387.40967
ef1bcca724f3,11/25/2016,268268.8647
ef1bcca724f3,11/26/2016,284500.7698
ef1bcca724f3,11/27/2016,218705.7416
ef1bcca724f3,11/28/2016,122648.3021
ef1bcca724f3,11/29/2016,164293.4784
ef1bcca724f3,11/30/2016,150117.295
ef1bcca724f3,12/1/2016,211755.8381
ef1bcca724f3,12/2/2016,286113.051
ef1bcca724f3,12/3/2016,376202.7736
ef1bcca724f3,12/4/2016,240627.6255
ef1bcca724f3,12/5/2016,160190.9742
ef1bcca724f3,12/6/2016,169666.6857
ef1bcca724f3,12/7/2016,185793.6893
ef1bcca724f3,12/8/2016,196400.8708
ef1bcca724f3,12/9/2016,321241.0706
ef1bcca724f3,12/10/2016,413266.1986
ef1bcca724f3,12/11/2016,281543.7592
ef1bcca724f3,12/12/2016,185579.3527
ef1bcca724f3,12/13/2016,192837.3088
ef1bcca724f3,12/14/2016,222745.9298
ef1bcca724f3,12/15/2016,256159.7129
ef1bcca724f3,12/16/2016,323846.8107
ef1bcca724f3,12/17/2016,369958.6438
ef1bcca724f3,12/18/2016,298624.2768
ef1bcca724f3,12/19/2016,263591.8825
ef1bcca724f3,12/20/2016,267299.7968
ef1bcca724f3,12/21/2016,290646.4574
ef1bcca724f3,12/22/2016,302567.7994
ef1bcca724f3,12/23/2016,347219.985
ef1bcca724f3,12/24/2016,258232.1676
ef1bcca724f3,12/25/2016,20091.30217
ef1bcca724f3,12/26/2016,220208.0522
ef1bcca724f3,12/27/2016,232782.0818
ef1bcca724f3,12/28/2016,236257.3407
ef1bcca724f3,12/29/2016,231679.5253
ef1bcca724f3,12/30/2016,291454.4332
ef1bcca724f3,12/31/2016,316777.9848
ef1bcca724f3,1/1/2017,220987.9089
ef1bcca724f3,1/2/2017,220399.2537
ef1bcca724f3,1/3/2017,165126.313
ef1bcca724f3,1/4/2017,174558.9748
ef1bcca724f3,1/5/2017,167610.6056
ef1bcca724f3,1/6/2017,229588.8632
ef1bcca724f3,1/7/2017,274015.7421
ef1bcca724f3,1/8/2017,231655.1485
ef1bcca724f3,1/9/2017,155312.0082
ef1bcca724f3,1/10/2017,155497.5216
ef1bcca724f3,1/11/2017,134790.2127
ef1bcca724f3,1/12/2017,195307.9689
ef1bcca724f3,1/13/2017,237346.3998
ef1bcca724f3,1/14/2017,296456.5674
ef1bcca724f3,1/15/2017,256982.4059
ef1bcca724f3,1/16/2017,192864.0465
ef1bcca724f3,1/17/2017,128176.3088
